# partner_name: Morgan
version,trial,stake,offer_you,offer_them,fairness,offer_text
4,1,10,3,7,unfair,"Partner gets $7, you get $3"
4,2,10,1,9,unfair,"Partner gets $9, you get $1"
4,3,10,2,8,unfair,"Partner gets $8, you get $2"
4,4,10,5,5,fair,"Partner gets $5, you get $5"
4,5,10,3,7,unfair,"Partner gets $7, you get $3"
4,6,10,4,6,fair,"Partner gets $6, you get $4"
4,7,10,1,9,unfair,"Partner gets $9, you get $1"
4,8,10,2,8,unfair,"Partner gets $8, you get $2"
4,9,10,3,7,unfair,"Partner gets $7, you get $3"
4,10,10,1,9,unfair,"Partner gets $9, you get $1"
4,11,10,2,8,unfair,"Partner gets $8, you get $2"
4,12,10,5,5,fair,"Partner gets $5, you get $5"
4,13,10,3,7,unfair,"Partner gets $7, you get $3"
4,14,10,1,9,unfair,"Partner gets $9, you get $1"
4,15,10,2,8,unfair,"Partner gets $8, you get $2"
4,16,10,4,6,fair,"Partner gets $6, you get $4"
4,17,10,3,7,unfair,"Partner gets $7, you get $3"
4,18,10,1,9,unfair,"Partner gets $9, you get $1"
4,19,10,2,8,unfair,"Partner gets $8, you get $2"
4,20,10,3,7,unfair,"Partner gets $7, you get $3"
4,21,10,1,9,unfair,"Partner gets $9, you get $1"
4,22,10,2,8,unfair,"Partner gets $8, you get $2"
