# partner_name: Alex
version,trial,stake,offer_you,offer_them,fairness,offer_text
1,1,10,3,7,unfair,"Partner gets $7, you get $3"
1,2,10,2,8,unfair,"Partner gets $8, you get $2"
1,3,10,5,5,fair,"Partner gets $5, you get $5"
1,4,10,1,9,unfair,"Partner gets $9, you get $1"
1,5,10,3,7,unfair,"Partner gets $7, you get $3"
1,6,10,2,8,unfair,"Partner gets $8, you get $2"
1,7,10,4,6,fair,"Partner gets $6, you get $4"
1,8,10,1,9,unfair,"Partner gets $9, you get $1"
1,9,10,3,7,unfair,"Partner gets $7, you get $3"
1,10,10,2,8,unfair,"Partner gets $8, you get $2"
1,11,10,1,9,unfair,"Partner gets $9, you get $1"
1,12,10,3,7,unfair,"Partner gets $7, you get $3"
1,13,10,2,8,unfair,"Partner gets $8, you get $2"
1,14,10,5,5,fair,"Partner gets $5, you get $5"
1,15,10,1,9,unfair,"Partner gets $9, you get $1"
1,16,10,3,7,unfair,"Partner gets $7, you get $3"
1,17,10,2,8,unfair,"Partner gets $8, you get $2"
1,18,10,4,6,fair,"Partner gets $6, you get $4"
1,19,10,1,9,unfair,
"Partner gets $9, you get $1"
1,20,10,2,8,unfair,"Partner gets $8, you get $2"
1,21,10,3,7,unfair,"Partner gets $7, you get $3"
1,22,10,1,9,unfair,"Partner gets $9, you get $1"
