# partner_name: Morgan
version,trial,stake,offer_you,offer_them,fairness,offer_text
3,1,10,1,9,unfair,"Partner gets $9, you get $1"
3,2,10,3,7,unfair,"Partner gets $7, you get $3"
3,3,10,2,8,unfair,"Partner gets $8, you get $2"
3,4,10,5,5,fair,"Partner gets $5, you get $5"
3,5,10,1,9,unfair,"Partner gets $9, you get $1"
3,6,10,4,6,fair,"Partner gets $6, you get $4"
3,7,10,3,7,unfair,"Partner gets $7, you get $3"
3,8,10,2,8,unfair,"Partner gets $8, you get $2"
3,9,10,1,9,unfair,"Partner gets $9, you get $1"
3,10,10,3,7,unfair,"Partner gets $7, you get $3"
3,11,10,2,8,unfair,"Partner gets $8, you get $2"
3,12,10,5,5,fair,"Partner gets $5, you get $5"
3,13,10,1,9,unfair,"Partner gets $9, you get $1"
3,14,10,3,7,unfair,"Partner gets $7, you get $3"
3,15,10,2,8,unfair,"Partner gets $8, you get $2"
3,16,10,4,6,fair,"Partner gets $6, you get $4"
3,17,10,1,9,unfair,"Partner gets $9, you get $1"
3,18,10,3,7,unfair,"Partner gets $7, you get $3"
3,19,10,2,8,unfair,"Partner gets $8, you get $2"
3,20,10,1,9,unfair,"Partner gets $9, you get $1"
3,21,10,3,7,unfair,"Partner gets $7, you get $3"
3,22,10,2,8,unfair,"Partner gets $8, you get $2"
